Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.002    0.000    0.016    0.000 ir.py:1323(dump)
     3525    0.003    0.000    0.016    0.000 ffi.py:329(close)
       26    0.002    0.000    0.016    0.001 ssa.py:184(_run_block_rewrite)
       33    0.000    0.000    0.016    0.000 compiler.py:520(define_pipelines)
    91984    0.016    0.000    0.016    0.000 {method 'extend' of 'list' objects}
     1401    0.002    0.000    0.016    0.000 models.py:630(get)
       33    0.000    0.000    0.016    0.000 compiler.py:540(define_nopython_pipeline)
      105    0.000    0.000    0.016    0.000 linker.py:5(link_modules)
  552/268    0.001    0.000    0.016    0.000 copy.py:247(_reconstruct)
     1119    0.001    0.000    0.016    0.000 models.py:710(getter)
     2560    0.004    0.000    0.016    0.000 <frozen _collections_abc>:811(__contains__)
      638    0.002    0.000    0.015    0.000 builder.py:875(call)
     4606    0.008    0.000    0.015    0.000 <frozen os>:709(__getitem__)
   104668    0.015    0.000    0.015    0.000 event.py:138(is_start)
       52    0.000    0.000    0.015    0.000 templates.py:899(_get_target_registry)
      502    0.005    0.000    0.015    0.000 inspect.py:2387(_signature_from_function)
    37685    0.013    0.000    0.015    0.000 {built-in method _abc._abc_instancecheck}
      683    0.002    0.000    0.015    0.000 interpreter.py:1794(_dispatch)
       25    0.000    0.000    0.015    0.001 callconv.py:468(unpack_dynamic_exception)
      976    0.001    0.000    0.015    0.000 context.py:268(core)
        8    0.000    0.000    0.015    0.002 boxing.py:474(unbox_array)
       27    0.000    0.000    0.015    0.001 codegen.py:767(_finalize_dynamic_globals)
   4498/6    0.006    0.000    0.015    0.002 copy.py:118(deepcopy)
    312/6    0.001    0.000    0.015    0.002 copy.py:217(_deepcopy_dict)
    80433    0.015    0.000    0.015    0.000 {method 'write' of '_io.StringIO' objects}
     1040    0.001    0.000    0.015    0.000 compiler_lock.py:22(__exit__)
      985    0.004    0.000    0.015    0.000 context.py:287(find_matching_getattr_template)
      134    0.000    0.000    0.014    0.000 context.py:153(refresh)
       27    0.000    0.000    0.014    0.001 codegen.py:1013(scan_unresolved_symbols)
      516    0.000    0.000    0.014    0.000 ffi.py:270(__exit__)
